,TickerYahoo,Name,Market Cap,Country,IPO Year,Industry
0,CFLT,Confluent Inc. Class A Common Stock,9570010977.00,United States,2021,Computer Software: Prepackaged Software
0,CGNT,Cognyte Software Ltd. Ordinary Shares,556612834.00,Israel,,Computer Software: Prepackaged Software
0,CHKP,Check Point Software Technologies Ltd. Ordinary Shares,16893059608.00,Israel,1996,Computer Software: Prepackaged Software
0,CHR,Cheer Holding Inc. Ordinary Share,27491133.00,China,2018,EDP Services
0,CINT,CI&T Inc Class A Common Shares,591412862.00,,2021,EDP Services
0,CLBT,Cellebrite DI Ltd. Ordinary Shares,2249029347.00,Israel,,Computer Software: Prepackaged Software
0,CLMB,Climb Global Solutions Inc. Common Stock,251975874.00,United States,,Retail: Computer Software & Peripheral Equipment
0,CLPS,CLPS Incorporation Common Stock,23795093.00,China,2018,Computer Software: Prepackaged Software
0,CLRO,ClearOne Inc. (DE) Common Stock,18211759.00,United States,,Radio And Television Broadcasting And Communications Equipment
0,CLS,Celestica Inc. Common Stock,7057432483.00,Canada,1998,Electrical Products
0,CLVT,Clarivate Plc Ordinary Shares,3752154180.00,United Kingdom,2019,EDP Services
0,CMBM,Cambium Networks Corporation Ordinary Shares,89824286.00,Cayman Islands,2019,Radio And Television Broadcasting And Communications Equipment
0,CMCM,Cheetah Mobile Inc. American Depositary Shares each representing fifty (50) Class A Ordinary Shares,169737644.00,China,2022,Computer Software: Prepackaged Software
0,CMTL,Comtech Telecommunications Corp. Common Stock,71469293.00,United States,,Radio And Television Broadcasting And Communications Equipment
0,CNET,ZW Data Action Technologies Inc. Common Stock,5547470.00,China,,Computer Software: Programming Data Processing
0,CNXC,Concentrix Corporation Common Stock,4006369160.00,United States,,Computer Software: Prepackaged Software
0,COHR,Coherent Corp. Common Stock,8969281395.00,United States,,Electronic Components
0,COMM,CommScope Holding Company Inc. Common Stock,260038906.00,United States,2013,Radio And Television Broadcasting And Communications Equipment
0,COMP,Compass Inc. Class A Common Stock,1874125332.00,United States,2021,EDP Services
0,COUR,Coursera Inc. Common Stock,1199720151.00,United States,2021,Computer Software: Prepackaged Software
