ETF;ISIN;TER;AUM;Perf. 5 ans;Catégorie;ETF recommandé;Frais;Encours
ISHARES MSCI UK;IE00BKSBGS44;;;;;;;
BNP PARIBAS EASY S&P 500 (Acc);FR0011550177;0.0014000000000000002;;0.9575;;;;
BNP PARIBAS EASY S&P 500 (USD);FR0011550185;0.0014000000000000002;;0.9586;;;;
BNP PARIBAS EASY S&P 500 EUR HEDGED;FR0013041530;0.0014000000000000002;;0.7087;;;;
BNP PARIBAS S&P 500 SCORED & SCREENED;IE0004J37T45;;;;;;;
BNP PARIBAS S&P 500 SCORED EUR H;IE000H36YXW0;;;;;;;
AMUNDI PEA S&P 500;FR0011871128;0.0012;912.0;0.9876;;;;
AMUNDI PEA S&P 500 EUR H;FR0011871136;0.0012;199.0;0.7223;;;;
AMUNDI PEA S&P 500 SCREENED;FR0013412285;0.0025;930.0;0.9862000000000001;;;;
AMUNDI PEA S&P 500 SCREENED EUR H;FR0013412293;0.0028000000000000004;190.0;0.7104;;;;
AMUNDI PEA NASDAQ 100;FR0011871110;0.003;883.0;1.0722;;;;
AMUNDI PEA US TECHNOLOGY SECTOR;FR0013412269;0.003;348.0;1.1878;;;;
AMUNDI MSCI USA DAILY (X2) LEVERAGED;FR0010755611;;;;;;;
AMUNDI IS RUSSELL 2000;LU1681038672;0.0034999999999999996;749.0;0.28859999999999997;;;;
AMUNDI IS PEA MSCI USA ESG LEADERS;LU1681042864;0.0034999999999999996;457.0;0.748;;;;
AMUNDI PEA S&P 500 INDUSTRIALS ESG;FR0011869270;0.005;81.0;0.8913;;;;
GOLDMAN SACHS ALPHA ENHANCED US;IE000P3B6PX5;;;;;;;
AMUNDI PEA LUXE MONDE;FR001400S9V0;0.003;12.0;;;;;
AMUNDI DOW JONES INDUS. AVERAGE;FR0007056841;;;;;;;
AMUNDI PEA JAPAN TOPIX (EUR);FR0013411980;0.002;91.0;0.5362;;;;
AMUNDI PEA JAPAN TOPIX (EUR H);FR0013411998;0.0048;54.0;1.2788;;;;
HSBC MSCI EMERGING MARKETS;IE00B5SSQT16;;;;;;;
AMUNDI PEA MSCI EM ESG LEADERS;FR0013412020;0.003;602.0;0.34409999999999996;;;;
AMUNDI PEA INDE;FR0011869320;0.0085;155.0;0.3761;;;;
AMUNDI PEA MSCI CHINA ESG LEADERS;FR0011871078;0.006500000000000001;83.0;-0.2929;;;;
AMUNDI MSCI CHINA TECH;LU1681043912;;;;;;;
AMUNDI PEA MSCI EMERGING ASIA;FR0013412012;0.003;530.0;0.2938;;;;
AMUNDI PEA ASIE PACIFIQUE;FR0011869312;0.006;117.0;0.29059999999999997;;;;
AMUNDI PEA MSCI EMERGING EMEA ESG;FR0011440478;0.0055000000000000005;54.0;0.2798;;;;
AMUNDI PEA MSCI EM LATIN AMERICA ESG;FR0013412004;0.003;144.0;0.8471;;;;
GOLDMAN SACHS ACTIVEBETA EM EQUITY;IE00BJ5CMD00;0.0049;12.0;0.4068;;;;
GOLDMAN SACHS ALPHA ENHANCED WORLD;IE000EPVL0Z9;;;;;;;
AMUNDI EURO STOXX BANKS;LU1829219390;0.003;;3.1498000000000004;;;;
ISHARES EURO STOXX BANKS 30-15 (DE);DE0006289309;0.0052;;3.0833;;;;
ISHARES EURO STOXX BANKS 30-15 (Acc);DE000A2QP372;0.0052;269.0;;;;;
AMUNDI STOXX EUROPE 600 BANKS;LU1834983477;0.003;;2.8467000000000002;;;;
AMUNDI STOXX EUROPE 600 HEALTHCARE;LU1834986900;0.003;906.0;0.5292;;;;
