I,TickerYahoo,Name,Isin
1,ALVIO.PA,VALERIO THERAPEUTICS,FR0010095596
1,VK.PA,VALLOUREC,FR0013506730
1,VLA.PA,VALNEVA,FR0004056851
1,VIE.PA,VEOLIA,FR0000124141
1,VRLA.PA,VERALLIA,FR0013447729
1,VMX.PA,VERIMATRIX,FR0010291245
1,VCT.PA,VICAT,FR0000031775
1,DG.PA,VINCI,FR0000125486
1,VIRP.PA,VIRBAC,FR0000031577
1,VIV.PA,VIVENDI,FR0000127771
1,VLTSA.PA,VOLTALIA,FR0011995588
1,VRAP.PA,VRANKEN-POMMERY MO.,FR0000062796
1,WAVE.PA,WAVESTONE,FR0013357621
1,MF.PA,WENDEL,FR0000121204
1,WLN.PA,WORLDLINE,FR0011981968
