Name,ISIN,Symbol,Market,Currency,size,TickerYahoo,index
BANIMMO A,BE0003870871,BANI,Euronext Brussels,EUR,small-cap,BANI.BR,
BELYSSE GROUP,BE0974314461,BELYS,Euronext Brussels,EUR,small-cap,BELYS.BR,
BIGBEN INTERACTIVE,FR0000074072,BIG,Euronext Paris,EUR,small-cap,BIG.PA,
BIOSENIC,BE0974280126,BIOS,Euronext Brussels,EUR,small-cap,BIOS.BR,
BIOTALYS,BE0974386188,BTLS,Euronext Brussels,EUR,small-cap,BTLS.BR,
CA TOULOUSE 31 CCI,FR0000045544,CAT31,Euronext Paris,EUR,small-cap,CAT31.PA,
CABKA,NL00150000S7,CABKA,Euronext Amsterdam,EUR,small-cap,CABKA.AS,
CAMPINE,BE0003825420,CAMB,Euronext Brussels,EUR,small-cap,CAMB.BR,
CBO TERRITORIA,FR0010193979,CBOT,Euronext Paris,EUR,small-cap,CBOT.PA,
CELYAD ONCOLOGY,BE0974260896,CYAD,Euronext Brussels,EUR,small-cap,CYAD.BR,
CLARANOVA,FR0013426004,CLA,Euronext Paris,EUR,small-cap,CLA.PA,
COHERIS,FR0004031763,COH,Euronext Paris,EUR,small-cap,COH.PA,
CRCAM ALP.PROV.CCI,FR0000044323,CRAP,Euronext Paris,EUR,small-cap,CRAP.PA,
CRCAM ATL.VEND.CCI,FR0000185506,CRAV,Euronext Paris,EUR,small-cap,CRAV.PA,
CRCAM ILLE-VIL.CCI,FR0000045213,CIV,Euronext Paris,EUR,small-cap,CIV.PA,
CRCAM LANGUED CCI,FR0010461053,CRLA,Euronext Paris,EUR,small-cap,CRLA.PA,
CRCAM LOIRE HTE L.,FR0000045239,CRLO,Euronext Paris,EUR,small-cap,CRLO.PA,
CRCAM MORBIHAN CCI,FR0000045551,CMO,Euronext Paris,EUR,small-cap,CMO.PA,
CRCAM NORM.SEINE,FR0000044364,CCN,Euronext Paris,EUR,small-cap,CCN.PA,
CRCAM SUD R.A.CCI,FR0000045346,CRSU,Euronext Paris,EUR,small-cap,CRSU.PA,
CRCAM TOURAINE CCI,FR0000045304,CRTO,Euronext Paris,EUR,small-cap,CRTO.PA,
CRESCENT,BE0003836534,OPTI,Euronext Brussels,EUR,small-cap,OPTI.BR,
CTAC,NL0000345577,CTAC,Euronext Amsterdam,EUR,small-cap,CTAC.AS,
DBV TECHNOLOGIES,FR0010417345,DBV,Euronext Paris,EUR,small-cap,DBV.PA,
