Name,Isin,TickerYahoo,Market,Currency
AMUNDI ETF SX50 DL,FR0010468983,LVE.PA,Euronext Paris,EUR
AMUNDI ETF SX50 DS,FR0010424135,BSX.PA,Euronext Paris,EUR
AMUNDI ETF TOPIX,FR0010245514,JPN.PA,Euronext Paris,EUR
AMUNDI ETF USA-B,LU1681042948,CU2U.PA,Euronext Paris,USD
AMUNDI ETF W EX EU,LU1681045537,CE8.PA,Euronext Paris,EUR
AMUNDI ETF W WATER,FR0010527275,WAT.PA,Euronext Paris,EUR
AMUNDI ETF W X EMU,FR0010756114,CM9.PA,Euronext Paris,EUR
AMUNDI ETF WLD NRJ,LU1681046006,CWE.PA,Euronext Paris,EUR
AMUNDI ETF WORLD-B,LU1681043672,CW8U.PA,Euronext Paris,USD
AMUNDI EU CRP3 SRI,LU2037748774,ECRP3.PA,Euronext Paris,EUR
AMUNDI EUR AGGSRI,LU2182388236,EGRI.PA,Euronext Paris,EUR
AMUNDI EUR CASH,FR0010510800,CSH.PA,Euronext Paris,EUR
AMUNDI EUR ESGLEAD,LU1940199711,ESGE.PA,Euronext Paris,EUR
AMUNDI EUR GOV 57,LU1287023003,MTC.PA,Euronext Paris,EUR
AMUNDI EUR GOV 710,LU1287023185,MTD.PA,Euronext Paris,EUR
AMUNDI EUR GOV DR,LU1437018598,EGOV.PA,Euronext Paris,EUR
AMUNDI Eur Gov Inf,LU1650491282,MTI.PA,Euronext Paris,EUR
AMUNDI EUR GOV1015,LU1650489385,MTE.PA,Euronext Paris,EUR
AMUNDI EUR GOVBOND,LU1650490474,MTX.PA,Euronext Paris,EUR
AMUNDI EUR GVTB57D,LU2090062865,C53D.PA,Euronext Paris,EUR
AMUNDI EUR H YIELD,LU1812090543,YIEL.PA,Euronext Paris,EUR
AMUNDI EUR STXBNK,LU1829219390,BNKE.PA,Euronext Paris,EUR
AMUNDI EURCORP BBB,LU1525418643,EBBB.PA,Euronext Paris,EUR
AMUNDI Euro GovGrn,LU2356220926,ERTH.PA,Euronext Paris,EUR
AMUNDI EUROGOV 13Y,LU1650487413,MTA.PA,Euronext Paris,EUR
AMUNDI EUROGOV 35Y,LU1650488494,MTB.PA,Euronext Paris,EUR
AMUNDI EUROMTS15PY,LU1287023268,MTF.PA,Euronext Paris,EUR
AMUNDI EUROZONEPAB,LU2195226068,EPAB.PA,Euronext Paris,EUR
AMUNDI EURZ CLIMPA,LU2182388582,PABZ.PA,Euronext Paris,EUR
AMUNDI FRN 1 3 GBP,LU1923163676,AFRHG.PA,Euronext Paris,GBP
AMUNDI FRN 1 3 USD,LU1923163759,AFRHU.PA,Euronext Paris,USD
AMUNDI FRN US HEU,LU1681041031,AFLE.PA,Euronext Paris,EUR
AMUNDI FRN USD,LU1681040900,AFLT.PA,Euronext Paris,USD
AMUNDI FTSE 100,LU1650492173,L100.PA,Euronext Paris,EUR
AMUNDI FTSE 100 MH,LU1650492330,100H.PA,Euronext Paris,EUR
Amundi FTSE Epra,LU1812091194,MEH.PA,Euronext Paris,EUR
AMUNDI FTSE MIB,FR0010010827,MIB.PA,Euronext Paris,EUR
AMUNDI G AG500 UH,LU1778293313,GAHU.PA,Euronext Paris,USD
AMUNDI G AGG500 DR,LU1437024729,GAGG.PA,Euronext Paris,EUR
AMUNDI G LUX USD,LU1681048713,LUXU.PA,Euronext Paris,USD
AMUNDI GLBAL INFRA,LU1589350310,GINF.PA,Euronext Paris,EUR
AMUNDI GLOBAL LUX,LU1681048630,GLUX.PA,Euronext Paris,EUR
AMUNDI GREEN BOND,LU1563454310,CLIM.PA,Euronext Paris,EUR
AMUNDI HI YIELD EU,LU1681040496,AHYE.PA,Euronext Paris,EUR
AMUNDI HIGH YLD BB,LU1215415214,HYBB.PA,Euronext Paris,EUR
AMUNDI INDIA PEA,FR0011869320,PINR.PA,Euronext Paris,EUR
AMUNDI JPM GBI DR,LU1437016204,GGOV.PA,Euronext Paris,EUR
