Name,ISIN,Symbol,Market,Currency,size,TickerYahoo,index
TINC,BE0974282148,TINC,Euronext Brussels,EUR,mid-cap,TINC.BR,
TOMTOM,NL0013332471,TOM2,Euronext Amsterdam,EUR,mid-cap,TOM2.AS,
TotalEnergiesGabon,GA0000121459,EC,Euronext Paris,EUR,mid-cap,EC.PA,
VALNEVA,FR0004056851,VLA,Euronext Paris,EUR,mid-cap,VLA.PA,
VAN DE VELDE,BE0003839561,VAN,Euronext Brussels,EUR,mid-cap,VAN.BR,
VETOQUINOL,FR0004186856,VETO,Euronext Paris,EUR,mid-cap,VETO.PA,
VIEL ET COMPAGNIE,FR0000050049,VIL,Euronext Paris,EUR,mid-cap,VIL.PA,
VIRIDIEN,FR001400PVN6,VIRI,Euronext Paris,EUR,mid-cap,VIRI.PA,
VOLTA FINANCE,GG00B1GHHH78,VTA,Euronext Amsterdam,EUR,mid-cap,VTA.AS,
WAGA ENERGY,FR0012532810,WAGA,Euronext Paris,EUR,mid-cap,WAGA.PA,
WERELDHAVE,NL0000289213,WHA,Euronext Amsterdam,EUR,mid-cap,WHA.AS,
WERELDHAVE BELGIUM,BE0003724383,WEHB,Euronext Brussels,EUR,mid-cap,WEHB.BR,
WHAT''S COOKING GP,BE0003573814,WHATS,Euronext Brussels,EUR,mid-cap,WHATS.BR,
X-FAB,BE0974310428,XFAB,Euronext Paris,EUR,mid-cap,XFAB.PA,
